"","V1","V2","V3","V4","V5","V6","V7"
"1",0.747342788138621,0.751,0.712,0.831,0.833,0.895,0.863
"2",0.688450161860945,0.686,0.984,0.69,0.82,0.866,0.853
"3",0.258658236234075,0.243,0.912,0.272,0.291,0.286,0.318
"4",0.786489528717513,0.773,0.59,0.759,0.949,0.944,0.961
"5",0.144812298148044,0.137,0.216,0.143,0.199,0.143,0.167
"6",0.385698440216946,0.423,0.365,0.367,0.449,0.403,0.45
"7",0.119953594303851,0.107,0.739,0.136,0.099,0.129,0.124
"8",0.363829999850048,0.37,0.4,0.338,0.417,0.414,0.453
"9",0.960285472309632,0.964,0.285,0.909,0.986,0.996,0.989
"10",0.971079235281404,0.97,0.224,0.87,0.311,0.201,0.226
"11",0.656839256101351,0.666,0.756,0.656,0.738,0.793,0.78
"12",0.777410329522467,0.782,0.88,0.822,0.727,0.848,0.77
"13",0.592129842220364,0.597,0.368,0.641,0.48,0.492,0.527
"14",0.863040550145184,0.86,0.777,0.796,0.788,0.718,0.757
"15",0.717201275927242,0.722,0.665,0.646,0.7,0.701,0.742
"16",0.700011778473483,0.694,0.449,0.731,0.574,0.739,0.617
"17",0.1041125502651,0.098,0.394,0.095,0.137,0.096,0.119
"18",0.294332284798583,0.272,0.838,0.275,0.215,0.302,0.248
"19",0.4760602815152,0.473,0.499,0.458,0.334,0.474,0.372
"20",0.640376915146288,0.622,0.605,0.68,0.568,0.685,0.606
"21",0.46189221353143,0.471,0.447,0.475,0.388,0.567,0.436
"22",0.0503162799287482,0.059,0.907,0.048,0.037,0.04,0.045
"23",0.883797001532042,0.898,0.326,0.829,0.909,0.889,0.912
"24",0.811131860404361,0.807,0.556,0.898,0.954,0.989,0.962
"25",0.0727860711224497,0.091,0.296,0.072,0.087,0.08,0.097
"26",0.433022625736435,0.416,0.508,0.45,0.45,0.451,0.498
"27",0.232566518376396,0.231,0.781,0.212,0.252,0.253,0.282
"28",0.781668484512382,0.763,0.501,0.738,0.89,0.879,0.899
"29",0.522337546337174,0.506,0.768,0.49,0.715,0.62,0.658
"30",0.445110613980378,0.439,0.958,0.418,0.174,0.239,0.202
"31",0.0840017945002384,0.096,0.549,0.081,0.066,0.089,0.08
"32",0.223532068667032,0.216,0.629,0.188,0.092,0.236,0.11
"33",0.284313087380925,0.287,0.479,0.283,0.494,0.359,0.394
"34",0.108643799052901,0.119,0.479,0.106,0.046,0.077,0.059
"35",0.935748730219929,0.941,0.595,0.965,0.997,0.994,0.997
"36",0.65773792311234,0.662,0.718,0.705,0.817,0.854,0.85
"37",0.887089085500605,0.899,0.957,0.843,0.947,0.969,0.958
"38",0.871737559879455,0.896,0.976,0.881,0.923,0.923,0.936
"39",0.486746280622033,0.498,0.983,0.491,0.501,0.571,0.548
"40",0.921880764442774,0.926,0.632,0.882,0.803,0.828,0.836
"41",0.705779631626821,0.703,0.824,0.661,0.74,0.71,0.753
"42",0.811089720131991,0.798,0.829,0.817,0.811,0.858,0.84
"43",0.533353884815275,0.527,0.942,0.596,0.399,0.592,0.446
"44",0.87181278227098,0.874,0.964,0.761,0.496,0.406,0.459
"45",0.446839807220725,0.439,0.452,0.409,0.384,0.444,0.433
"46",0.973082556547621,0.973,0.375,0.995,0.83,0.806,0.841
"47",0.617736453005383,0.606,0.356,0.633,0.805,0.755,0.79
"48",0.441403683536086,0.466,0.924,0.46,0.604,0.529,0.573
"49",0.7734640648403,0.755,0.975,0.745,0.918,0.917,0.937
"50",0.255958960369203,0.261,0.568,0.266,0.275,0.261,0.291
"51",0.130690465698182,0.143,0.908,0.115,0.202,0.123,0.145
"52",0.769041745978281,0.767,0.584,0.676,0.617,0.597,0.64
"53",0.609719515070768,0.606,0.633,0.573,0.503,0.564,0.55
"54",0.705188996480482,0.694,0.426,0.697,0.545,0.791,0.594
"55",0.474895173195545,0.446,0.435,0.459,0.548,0.567,0.594
"56",0.95914728294419,0.959,0.981,0.957,0.906,0.89,0.909
"57",0.0432908250104842,0.041,0.785,0.045,0.041,0.049,0.048
"58",0.99112265876,0.989,0.178,0.978,0.808,0.915,0.84
"59",0.662529937674955,0.658,0.449,0.681,0.892,0.883,0.904
"60",0.546315639354973,0.53,0.893,0.612,0.448,0.49,0.499
"61",0.357061479908751,0.369,0.862,0.322,0.506,0.396,0.444
"62",0.376835066572555,0.35,0.092,0.378,0.544,0.445,0.49
"63",0.251391493366956,0.243,0.176,0.233,0.324,0.261,0.297
"64",0.226557788968167,0.223,0.712,0.197,0.306,0.256,0.286
"65",0.165492679167765,0.138,0.704,0.156,0.219,0.182,0.206
"66",0.33379332765646,0.326,0.805,0.365,0.295,0.274,0.307
"67",0.316074564331396,0.291,0.946,0.325,0.432,0.421,0.461
"68",0.888549721052317,0.898,0.393,0.871,0.833,0.887,0.861
"69",0.599663446721312,0.586,0.548,0.603,0.466,0.653,0.511
"70",0.170272292698651,0.196,0.742,0.203,0.08,0.148,0.093
"71",0.756102762645557,0.752,0.139,0.748,0.83,0.866,0.869
"72",0.128319162176692,0.133,0.283,0.153,0.151,0.129,0.151
"73",0.91871411147559,0.925,0.822,0.946,0.969,0.993,0.977
"74",0.498628747272968,0.508,0.943,0.52,0.395,0.514,0.438
"75",0.823142993933365,0.836,0.999,0.863,0.979,0.971,0.979
"76",0.0262938267013254,0.026,0.065,0.022,0.054,0.026,0.034
"77",0.333845476860237,0.326,0.489,0.298,0.375,0.357,0.398
"78",0.272916874338822,0.273,0.531,0.233,0.142,0.284,0.168
"79",0.196767495920905,0.186,0.211,0.2,0.243,0.197,0.23
"80",0.32443358769826,0.334,0.949,0.333,0.384,0.344,0.382
"81",0.0648233417224855,0.051,0.044,0.05,0.028,0.063,0.033
"82",0.090142801275167,0.089,0.803,0.099,0.059,0.079,0.073
"83",0.0191177593821648,0.016,0.019,0.022,0.039,0.024,0.029
"84",0.407384892087923,0.409,0.349,0.486,0.456,0.501,0.507
"85",0.284690013447666,0.287,0.417,0.298,0.267,0.257,0.283
"86",0.121868739228912,0.11,0.392,0.108,0.13,0.126,0.148
"87",0.247655971063683,0.253,0.954,0.226,0.288,0.23,0.264
"88",0.194136084197632,0.19,0.246,0.171,0.105,0.174,0.127
"89",0.207890513181643,0.222,0.295,0.196,0.297,0.205,0.237
"90",0.957751038546387,0.961,0.75,0.886,0.784,0.767,0.805
"91",0.821792058983421,0.855,0.95,0.844,0.696,0.742,0.743
"92",0.889277964169441,0.886,0.22,0.89,0.958,0.951,0.967
"93",0.812963430581276,0.797,0.47,0.824,0.689,0.842,0.737
"94",0.20581585366519,0.221,0.996,0.216,0.167,0.213,0.191
"95",0.975479904573079,0.981,0.941,0.958,0.894,0.861,0.891
"96",0.462668671984334,0.454,0.699,0.439,0.562,0.535,0.588
"97",0.162967873276477,0.154,0.202,0.158,0.213,0.163,0.189
"98",0.48225818780575,0.475,0.166,0.527,0.442,0.418,0.45
"99",0.980800597614578,0.982,0.251,0.977,0.651,0.674,0.704
"100",0.0991108194012733,0.103,0.484,0.096,0.069,0.07,0.084
"101",0.698402794637047,0.714,0.296,0.718,0.94,0.9,0.921
"102",0.209294796934905,0.206,0.579,0.233,0.202,0.228,0.231
"103",0.858685293469629,0.855,0.725,0.931,0.946,0.94,0.953
"104",0.738423129253248,0.743,0.463,0.754,0.724,0.655,0.703
"105",0.595004117898362,0.604,0.447,0.587,0.609,0.723,0.647
"106",0.169416184786159,0.173,0.556,0.152,0.244,0.183,0.216
"107",0.745261044825432,0.753,0.869,0.799,0.719,0.839,0.753
"108",0.82637763782912,0.848,0.613,0.814,0.981,0.972,0.98
"109",0.261922425754155,0.239,0.562,0.242,0.254,0.25,0.279
"110",0.823519145394438,0.819,0.598,0.842,0.942,0.953,0.955
"111",0.799898472460921,0.793,0.658,0.827,0.906,0.895,0.914
"112",0.742649551437218,0.73,0.614,0.747,0.539,0.762,0.581
"113",0.311820564997252,0.318,0.922,0.319,0.302,0.328,0.335
"114",0.487116045698534,0.483,0.602,0.453,0.467,0.517,0.505
"115",0.951601221814245,0.95,0.816,0.959,0.995,0.993,0.996
"116",0.0730449506385633,0.074,0.314,0.088,0.065,0.075,0.078
"117",0.180928543727135,0.194,0.306,0.179,0.234,0.208,0.241
"118",0.541339423510637,0.581,0.23,0.558,0.743,0.667,0.721
"119",0.34600805809783,0.374,0.882,0.349,0.423,0.376,0.413
"120",0.196607850661148,0.215,0.56,0.206,0.254,0.198,0.224
"121",0.58025549519664,0.603,0.975,0.559,0.449,0.685,0.492
"122",0.644871876947327,0.659,0.812,0.564,0.263,0.264,0.303
"123",0.790672989451061,0.759,0.122,0.809,0.879,0.95,0.903
"124",0.703900153065497,0.721,0.949,0.693,0.63,0.749,0.67
"125",0.198949206229696,0.204,0.301,0.192,0.154,0.222,0.18
"126",0.660478435743356,0.674,0.333,0.641,0.842,0.815,0.845
"127",0.839900367974745,0.841,0.304,0.763,0.677,0.702,0.714
"128",0.845586946320674,0.847,0.401,0.742,0.392,0.229,0.259
"129",0.156196253510055,0.147,0.353,0.154,0.333,0.169,0.186
"130",0.279541861384074,0.27,0.716,0.254,0.482,0.325,0.371
"131",0.73526163904615,0.731,0.816,0.797,0.834,0.79,0.824
"132",0.657608043424039,0.665,0.925,0.719,0.337,0.403,0.374
"133",0.296819191474821,0.284,0.991,0.292,0.386,0.364,0.401
"134",0.183408479590156,0.188,0.338,0.181,0.106,0.153,0.129
"135",0.654534196229959,0.642,0.484,0.594,0.602,0.581,0.622
"136",0.993944084941962,0.996,0.836,0.998,0.722,0.605,0.639
"137",0.269930364664317,0.267,0.243,0.245,0.136,0.295,0.15
"138",0.117435757111813,0.11,0.779,0.094,0.166,0.114,0.141
"139",0.940638045462715,0.944,0.338,0.957,0.989,0.996,0.993
"140",0.0411750673616063,0.04,0.091,0.044,0.054,0.044,0.055
"141",0.0289965745050417,0.033,0.323,0.026,0.02,0.028,0.027
"142",0.193337032143848,0.202,0.384,0.182,0.223,0.18,0.208
"143",0.363742475563996,0.372,0.457,0.375,0.625,0.429,0.476
"144",0.326131352255977,0.308,0.756,0.306,0.356,0.378,0.396
"145",0.541340680515688,0.553,0.558,0.546,0.652,0.665,0.688
"146",0.0999306545174148,0.107,0.031,0.108,0.076,0.092,0.086
"147",0.321692709227485,0.324,0.187,0.308,0.407,0.368,0.411
"148",0.664213204241238,0.678,0.832,0.741,0.69,0.781,0.729
"149",0.827947681455499,0.795,0.449,0.835,0.723,0.853,0.761
"150",0.530519006813615,0.523,0.945,0.506,0.58,0.657,0.629
"151",0.743965581331117,0.741,0.469,0.726,0.787,0.803,0.823
"152",0.478611515485452,0.5,0.652,0.502,0.39,0.447,0.424
"153",0.183770252960984,0.17,0.905,0.18,0.269,0.202,0.231
"154",0.515686615084257,0.531,0.596,0.527,0.717,0.592,0.639
"155",0.808447273961777,0.801,0.66,0.754,0.619,0.62,0.653
"156",0.549620829023487,0.559,0.614,0.526,0.645,0.656,0.688
"157",0.664494416371751,0.666,0.963,0.674,0.632,0.73,0.67
"158",0.987318821204671,0.982,0.481,0.994,0.919,0.827,0.862
"159",0.885967892702495,0.903,0.622,0.889,0.946,0.937,0.953
"160",0.215837593395158,0.2,0.184,0.204,0.169,0.225,0.197
"161",0.493172392665134,0.498,0.592,0.476,0.548,0.542,0.573
"162",0.402330598565378,0.4,0.341,0.372,0.277,0.47,0.315
"163",0.651885493356752,0.627,0.99,0.632,0.819,0.823,0.846
"164",0.88646439013015,0.886,0.773,0.876,0.686,0.636,0.666
"165",0.816760194415656,0.824,0.934,0.796,0.858,0.899,0.887
"166",0.642627510329706,0.654,0.789,0.678,0.642,0.68,0.686
"167",0.358682983933865,0.343,0.784,0.427,0.394,0.382,0.416
"168",0.0480715751414031,0.058,0.442,0.06,0.073,0.045,0.056
"169",0.632736058010392,0.622,0.87,0.666,0.685,0.762,0.723
"170",0.12243555600415,0.12,0.537,0.123,0.179,0.128,0.146
"171",0.54802736483219,0.522,0.933,0.586,0.567,0.699,0.611
"172",0.771338717836813,0.739,0.663,0.698,0.61,0.723,0.645
"173",0.668198118743945,0.674,0.862,0.659,0.88,0.869,0.892
"174",0.0636827842273405,0.069,0.348,0.069,0.1,0.068,0.078
"175",0.86427777056119,0.871,0.849,0.848,0.722,0.725,0.756
"176",0.304614580964115,0.309,0.028,0.322,0.334,0.333,0.368
"177",0.790968748200653,0.791,0.714,0.824,0.911,0.956,0.936
"178",0.833519355702577,0.851,0.474,0.768,0.766,0.85,0.803
"179",0.591282394457191,0.603,0.555,0.552,0.497,0.505,0.544
"180",0.0533073076769854,0.056,0.616,0.049,0.018,0.054,0.021
"181",0.738671923105552,0.735,0.91,0.758,0.559,0.621,0.603
"182",0.97961754379626,0.984,0.955,0.905,0.634,0.574,0.615
"183",0.242282640293345,0.231,0.82,0.249,0.352,0.253,0.282
"184",0.632425257891609,0.641,0.649,0.657,0.792,0.693,0.733
"185",0.757229397394979,0.779,0.342,0.798,0.924,0.925,0.943
"186",0.770200518092934,0.771,0.312,0.723,0.76,0.714,0.753
"187",0.642439545386027,0.624,0.463,0.687,0.924,0.807,0.846
"188",0.986644537566955,0.989,0.2,0.968,0.997,0.984,0.991
"189",0.0190664293851872,0.025,0.485,0.014,0.012,0.019,0.015
"190",0.228763858423492,0.231,0.604,0.237,0.474,0.228,0.259
"191",0.0767764051477959,0.085,0.914,0.1,0.049,0.077,0.054
"192",0.402930751721799,0.416,0.672,0.386,0.466,0.432,0.475
"193",0.0731376905775605,0.07,0.781,0.062,0.102,0.082,0.098
"194",0.384404129852983,0.36,0.395,0.379,0.414,0.437,0.452
"195",0.58533616316229,0.598,0.117,0.602,0.84,0.718,0.758
"196",0.125484159572832,0.152,0.263,0.117,0.138,0.127,0.145
"197",0.753980541226895,0.747,0.911,0.785,0.808,0.939,0.843
"198",0.818333836533121,0.834,0.923,0.776,0.583,0.709,0.636
"199",0.791314741858577,0.799,0.551,0.882,0.674,0.791,0.711
"200",0.598683512731369,0.577,0.652,0.626,0.507,0.661,0.553
